timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
2023/02/24 11:15:33.456,204,GET - Homepage-1,200,,Thread group name 1-20,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,204,0,0
2023/02/24 11:16:51.737,459,GET - Homepage,200,,Thread group name 1-1,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,302,0,81
2023/02/24 11:16:51.737,302,GET - Homepage-0,302,,Thread group name 1-1,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,302,0,81
2023/02/24 11:16:52.040,156,GET - Homepage-1,200,,Thread group name 1-1,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,156,0,0
2023/02/24 11:16:52.234,460,GET - Homepage,200,,Thread group name 1-2,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,311,0,111
2023/02/24 11:16:52.234,311,GET - Homepage-0,302,,Thread group name 1-2,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,311,0,111
2023/02/24 11:16:52.545,149,GET - Homepage-1,200,,Thread group name 1-2,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,149,0,0
2023/02/24 11:16:52.733,770,GET - Homepage,200,,Thread group name 1-3,text,false,Test failed: code expected to match /[200-399]/,451,723,2,2,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,633,0,183
2023/02/24 11:16:52.733,633,GET - Homepage-0,302,,Thread group name 1-3,,true,,209,361,2,2,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,633,0,183
2023/02/24 11:16:53.366,137,GET - Homepage-1,200,,Thread group name 1-3,text,true,,242,362,2,2,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,137,0,0
2023/02/24 11:16:53.234,406,GET - Homepage,200,,Thread group name 1-4,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,206,0,132
2023/02/24 11:16:53.234,206,GET - Homepage-0,302,,Thread group name 1-4,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,206,0,132
2023/02/24 11:16:53.440,200,GET - Homepage-1,200,,Thread group name 1-4,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,200,0,0
2023/02/24 11:16:53.733,535,GET - Homepage,200,,Thread group name 1-5,text,false,Test failed: code expected to match /[200-399]/,451,723,2,2,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,347,0,132
2023/02/24 11:16:53.733,347,GET - Homepage-0,302,,Thread group name 1-5,,true,,209,361,2,2,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,347,0,132
2023/02/24 11:16:54.080,188,GET - Homepage-1,200,,Thread group name 1-5,text,true,,242,362,2,2,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,188,0,0
2023/02/24 11:16:54.234,378,GET - Homepage,200,,Thread group name 1-6,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,231,0,71
2023/02/24 11:16:54.234,231,GET - Homepage-0,302,,Thread group name 1-6,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,231,0,71
2023/02/24 11:16:54.465,147,GET - Homepage-1,200,,Thread group name 1-6,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,147,0,0
2023/02/24 11:16:54.734,333,GET - Homepage,200,,Thread group name 1-7,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,235,0,73
2023/02/24 11:16:54.734,235,GET - Homepage-0,302,,Thread group name 1-7,,true,,209,361,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck,235,0,73
2023/02/24 11:16:54.970,97,GET - Homepage-1,200,,Thread group name 1-7,text,true,,242,362,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,97,0,0
2023/02/24 11:16:55.233,425,GET - Homepage,200,,Thread group name 1-8,text,false,Test failed: code expected to match /[200-399]/,451,723,1,1,http://sample-webapp-8080-tcp-okd4-training.apps.test-cluster.dedalus.red.com/healthcheck/,269,0,73
